Issue Number,Title,State,Comments,Created At,Closed At
6122,[BUG] 'except?' started failing in 3.0.10,closed,16,2024-04-01,2024-04-21
6121,[ENH] Implement __Pyx_PyObject_LengthHint properly on the limited API,open,1,2024-04-01,N/A
6120,Fix missing flow control for assignment expression,open,0,2024-04-01,N/A
6119,"[3.0.x] Modified ""pretend_to_initialize"" for c++ (#5920)",open,0,2024-03-31,N/A
6118,[ENH] Reproducible output,open,0,2024-03-31,N/A
6117,Refactor of Cache.py,closed,3,2024-03-30,2024-04-06
6116,[ENH] Improve Cython install speed from source,closed,4,2024-03-30,2024-03-30
6115,Add tests to cover Node analyse expressions,closed,1,2024-03-29,2024-04-02
6114,"[bug] issues with ""cppclass overloadable methods""",open,2,2024-03-28,N/A
6113,"[BUG] Multi-line f-string literals do not adhere to """"""\ syntax",open,1,2024-03-24,N/A
6112,"Tidy up of ""overloaded c++ methods""",open,0,2024-03-24,N/A
6111,[3.0.x] Fix c++ complex double_proj test,closed,2,2024-03-24,2024-03-27
6110,CI: Pin Numpy<2 in test dependencies.,closed,0,2024-03-24,2024-03-27
6109,Fix broken rendering of PEP link,closed,1,2024-03-23,2024-03-23
6108,Make C++ conversion lengthhint limited-api friendly,closed,1,2024-03-23,2024-04-01
6107,[BUG]  Deadlock in OpenMP Parallel Loop When Invoking LAPACK Functions in Cython>=3.0,closed,4,2024-03-22,2024-03-24
6106,[BUG] cppclass inheritance does not work with overloaded methods,closed,3,2024-03-22,2024-03-23
6105,3.0.x fix legacy_implicit_noexcept tests,closed,2,2024-03-22,2024-03-22
6104,Fix cap length,closed,0,2024-03-22,2024-03-28
6103,[3.0.x] Revert changes in tests breaking python 2.7,closed,4,2024-03-22,2024-03-22
6102,[3.0.x] Disable all freelist code outside CPython and add a new guard,closed,0,2024-03-21,2024-03-22
6101,"Change a ""char *"" to ""const char*"" in import code",closed,0,2024-03-21,2024-03-21
6100,more fixes for NumPy2,closed,8,2024-03-20,2024-03-23
6099,[BUG] Function Wrapper yields unused-variable warning when compiled with pypy,closed,3,2024-03-19,2024-03-22
6098,Make limited API object==float work,closed,3,2024-03-19,2024-04-27
6097,[ENH] Can Cython support the vector database function of redis?,open,3,2024-03-19,N/A
6096,[BUG] Generators after being cythonized cannot be inspect as generators,closed,13,2024-03-19,2024-03-22
6095,[docs] Document Cython cache,closed,2,2024-03-18,2024-04-04
6094,[BUG] Segmentation fault with Walrus-Operator and same named variables,open,2,2024-03-17,N/A
6093,[BUG] Bug with limited API support in trivial program involving float literal,closed,5,2024-03-17,2024-04-27
6092,Add a separate script that just runs code style tests,open,0,2024-03-17,N/A
6091,Add compilation cache to cython command,open,2,2024-03-16,N/A
6090,Move Cython cache to separate module,closed,3,2024-03-16,2024-03-20
6089,Fix write unraisable followed by interpretter shutdown,closed,1,2024-03-16,2024-05-21
6088,Improve performance hints for nogil + pxd,closed,2,2024-03-16,2024-03-29
6087,"Fix warnings for ""implicit noexcept"" when using `legacy_implicit_noexcept=True`",closed,6,2024-03-16,2024-03-21
6086,Make fused ctuples work,open,1,2024-03-16,N/A
6085,Fix bad self casts when calling methods of final types,closed,9,2024-03-16,2024-03-28
6084,Adapt 0.29.x _PyLong_AsByteArray to 3.13 changes,open,1,2024-03-16,N/A
